block_id	chrom	observed_top1	observed_total	avi_top1_count	unconditional_ratio	conditional_ratio	eqtl_variant_count	eqtl_variants_per_kb
chr3_33930837_33947754	chr3	1	407	425	0.00235294	0.293401	24	1.4187
chr3_33947754_34064878	chr3	13	3126	1209	0.0107527	1.20864	82	0.7001
chr3_34064878_34111143	chr3	3	1295	362	0.00828729	0.888212	9	0.1945
chr3_34111143_34199918	chr3	3	2380	671	0.00447094	0.500304	56	0.6308
chr3_34199918_34281307	chr3	8	2340	929	0.00861141	0.898556	95	1.1672
chr3_34281307_34501891	chr3	4	6264	684	0.00584795	0.617799	38	0.1723
chr3_34501891_34620665	chr3	2	3313	323	0.00619195	0.665961	14	0.1179
chr3_34620665_34773297	chr3	0	4334	266	0	0	77	0.5045
chr3_34773297_34838467	chr3	4	1966	233	0.0171674	1.70722	68	1.0434
chr3_34838467_34979007	chr3	4	3842	489	0.00817996	0.897666	142	1.0104
chr3_34979007_35063696	chr3	2	2144	194	0.0103093	1.22166	9	0.1063
chr3_35063696_35147696	chr3	0	2158	20	0	0	11	0.131
chr3_35147696_35205010	chr3	3	1508	153	0.0196078	2.23568	21	0.3664
chr3_35205010_35239965	chr3	0	943	14	0	0	15	0.4291
chr3_35239965_35408541	chr3	6	4411	479	0.0125261	1.43614	137	0.8127
chr3_35408541_35472119	chr3	2	1649	44	0.0454545	5.25757	59	0.928
chr3_35472119_35596417	chr3	1	3149	328	0.00304878	0.361026	239	1.9228
chr3_35596417_35739243	chr3	34	3563	7525	0.00451827	0.543357	219	1.5333
chr3_35739243_35871850	chr3	13	3368	2392	0.00543478	0.641945	135	1.018
chr3_35871850_35945762	chr3	2	1925	173	0.0115607	1.33165	9	0.1218
chr3_35945762_35987897	chr3	0	1004	131	0	0	0	0.0
chr3_35987897_36058573	chr3	0	1763	33	0	0	44	0.6226
chr3_36058573_36141404	chr3	2	2314	57	0.0350877	3.76796	67	0.8089
chr3_36141404_36304473	chr3	2	4378	288	0.00694444	0.775987	460	2.8209
chr3_36304473_36375055	chr3	1	1819	201	0.00497512	0.579144	128	1.8135
chr3_36375055_36444898	chr3	2	1768	944	0.00211864	0.251084	326	4.6676
chr3_36444898_36453242	chr3	0	212	50	0	0	1	0.1198
chr3_36453242_36512456	chr3	13	1632	1720	0.00755814	0.822698	101	1.7057
chr3_36512456_36619664	chr3	11	2756	1034	0.0106383	1.24148	119	1.11
chr3_36619664_36643433	chr3	0	658	48	0	0	33	1.3884
chr3_36643433_36707369	chr3	0	1693	259	0	0	39	0.61
chr3_36707369_36757498	chr3	12	1369	2971	0.00403904	0.443696	44	0.8777
chr3_36757498_36771445	chr3	1	360	186	0.00537634	0.624866	22	1.5774
chr3_36771445_36790997	chr3	0	494	95	0	0	60	3.0687
chr3_36790997_36814122	chr3	0	582	84	0	0	48	2.0757
chr3_36814122_36923092	chr3	54	2669	13323	0.00405314	0.496445	208	1.9088
chr3_36923092_37230579	chr3	111	7318	15888	0.0069864	0.880662	745	2.4229
chr3_37230579_37421556	chr3	56	4815	10413	0.00537789	0.639909	386	2.0212
chr3_37421556_37490025	chr3	11	1734	1463	0.0075188	0.890665	152	2.22
chr3_37490025_37558979	chr3	22	1957	3505	0.00627675	0.663475	229	3.3211
chr3_37558979_37625765	chr3	5	1794	746	0.00670241	0.748541	143	2.1412
chr3_37625765_37681604	chr3	8	1410	745	0.0107383	1.27577	101	1.8088
chr3_37681604_37792356	chr3	24	2960	2886	0.00831601	0.933461	209	1.8871
chr3_37792356_37825264	chr3	5	821	1074	0.00465549	0.559816	47	1.4282
chr3_37825264_37855140	chr3	0	708	36	0	0	65	2.1757
chr3_37855140_37954986	chr3	11	2333	1839	0.00598151	0.767977	247	2.4738
chr3_37954986_38038495	chr3	66	2215	11153	0.00591769	0.669319	208	2.4907
chr3_38038495_38111153	chr3	38	1762	5003	0.00759544	0.939619	193	2.6563
chr3_38111153_38312649	chr3	90	4912	14723	0.00611288	0.752273	346	1.7172
chr3_38312649_38364294	chr3	16	1407	1529	0.0104644	1.15231	203	3.9307
chr3_38364294_38393532	chr3	11	831	2082	0.00528338	0.557673	92	3.1466
chr3_38393532_38563154	chr3	74	4175	13501	0.00548108	0.668056	445	2.6235
chr3_38563154_38618304	chr3	40	1504	6992	0.00572082	0.629329	116	2.1034
chr3_38618304_38624332	chr3	2	190	566	0.00353357	0.336321	11	1.8248
chr3_38624332_38684702	chr3	23	1646	2044	0.0112524	1.23811	111	1.8387
chr3_38684702_38711685	chr3	24	737	3193	0.00751644	0.825575	24	0.8894
chr3_38711685_38786013	chr3	50	2173	5872	0.00851499	0.873772	102	1.3723
chr3_38786013_38821646	chr3	9	1079	851	0.0105758	1.04777	55	1.5435
chr3_38821646_39151051	chr3	168	8195	27200	0.00617647	0.744805	1075	3.2635
chr3_39151051_39230700	chr3	71	2110	6319	0.011236	1.27242	173	2.172
chr3_39230700_39250485	chr3	1	517	184	0.00543478	0.623949	70	3.538
chr3_39250485_39268285	chr3	11	532	1460	0.00753425	0.756257	52	2.9213
chr3_39268285_39380648	chr3	21	2734	2058	0.0102041	1.25811	303	2.6966
chr3_39380648_39494656	chr3	20	3092	4884	0.004095	0.452972	548	4.8067
chr3_39494656_39561544	chr3	7	1782	1958	0.00357508	0.402575	190	2.8406
chr3_39561544_39699903	chr3	1	3307	163	0.00613497	0.770029	81	0.5854
chr3_39699903_39760260	chr3	0	1529	208	0	0	19	0.3148
chr3_39760260_39803472	chr3	0	1219	22	0	0	95	2.1985
chr3_39803472_39851682	chr3	0	1187	259	0	0	116	2.4061
chr3_39851682_39918075	chr3	4	1566	445	0.00898876	1.14328	158	2.3798
chr3_39918075_39954069	chr3	0	890	39	0	0	121	3.3617
chr3_39954069_40042510	chr3	3	2304	205	0.0146341	1.68523	184	2.0805
chr3_40042510_40068146	chr3	4	702	511	0.00782779	0.857578	107	4.1738
chr3_40068146_40123101	chr3	6	1290	386	0.015544	1.98656	74	1.3466
chr3_40123101_40178178	chr3	8	1296	1028	0.0077821	0.992164	86	1.5615
chr3_40178178_40301046	chr3	14	2898	2477	0.005652	0.718892	302	2.4579
chr3_40301046_40493387	chr3	52	5016	7276	0.00714678	0.822141	571	2.9687
chr3_40493387_40585608	chr3	21	2205	3142	0.00668364	0.838601	126	1.3663
chr3_40585608_40741528	chr3	3	4176	664	0.00451807	0.506076	171	1.0967
chr3_40741528_40857983	chr3	3	2706	608	0.00493421	0.637044	32	0.2748
chr3_40857983_40977922	chr3	5	2737	1107	0.00451671	0.593785	72	0.6003
chr3_40977922_41023922	chr3	0	1183	138	0	0	2	0.0435
chr3_41023922_41062415	chr3	0	1006	162	0	0	33	0.8573
chr3_41062415_41148685	chr3	3	2323	668	0.00449102	0.500353	38	0.4405
chr3_41148685_41178942	chr3	1	840	254	0.00393701	0.425436	32	1.0576
chr3_41178942_41267423	chr3	18	2149	8319	0.00216372	0.267261	101	1.1415
chr3_41267423_41378606	chr3	3	3043	533	0.00562852	0.616953	137	1.2322
chr3_41378606_41423353	chr3	1	1313	304	0.00328947	0.336315	88	1.9666
chr3_41423353_41531915	chr3	5	3104	587	0.00851789	0.893736	228	2.1002
chr3_41531915_41592977	chr3	2	1905	259	0.00772201	0.742553	234	3.8322
chr3_41592977_41700404	chr3	6	2905	833	0.00720288	0.799088	236	2.1968
chr3_41700404_42062987	chr3	51	10188	6491	0.00785703	0.838877	1531	4.2225
chr3_42062987_42143760	chr3	12	2261	1693	0.00708801	0.759646	221	2.7361
chr3_42143760_42226959	chr3	46	2304	7225	0.00636678	0.689726	139	1.6707
chr3_42226959_42258378	chr3	3	815	423	0.0070922	0.820232	41	1.3049
chr3_42258378_42293016	chr3	2	928	639	0.00312989	0.350474	66	1.9054
chr3_42293016_42336621	chr3	1	1293	63	0.015873	1.6059	192	4.4032
chr3_42336621_42375178	chr3	5	1127	177	0.0282486	2.89933	139	3.6051
chr3_42375178_42393627	chr3	1	551	91	0.010989	1.10383	9	0.4878
chr3_42393627_42445532	chr3	9	1513	1045	0.00861244	0.886375	46	0.8862
chr3_42445532_42499952	chr3	4	1514	421	0.00950119	1.02455	121	2.2234
chr3_42499952_42537017	chr3	27	1049	3588	0.00752508	0.797666	93	2.5091
chr3_42537017_42691447	chr3	91	3822	19484	0.0046705	0.566142	374	2.4218
chr3_42691447_42819964	chr3	75	3211	9481	0.00791056	0.949836	292	2.2721
chr3_42819964_42883199	chr3	33	1503	4231	0.00779957	0.984443	157	2.4828
chr3_42883199_43011119	chr3	21	2968	2739	0.00766703	0.991341	215	1.6807
chr3_43011119_43061927	chr3	28	1349	3571	0.00784094	0.885951	157	3.0901
chr3_43061927_43157978	chr3	29	2578	3418	0.00848449	0.948345	280	2.9151
chr3_43157978_43207463	chr3	4	1549	489	0.00817996	0.783961	93	1.8794
chr3_43207463_43443961	chr3	29	6052	6936	0.00418108	0.490161	629	2.6596
chr3_43443961_43760434	chr3	48	7489	6965	0.0068916	0.873684	676	2.136
chr3_43760434_43836624	chr3	2	1980	728	0.00274725	0.317141	112	1.47
chr3_43836624_43910231	chr3	2	2027	630	0.0031746	0.345841	131	1.7797
chr3_43910231_44041560	chr3	11	3156	1732	0.00635104	0.792848	278	2.1168
chr3_44041560_44099345	chr3	5	1526	619	0.00807754	0.917616	94	1.6267
chr3_44099345_44179966	chr3	2	2116	508	0.00393701	0.450008	159	1.9722
chr3_44179966_44415081	chr3	21	5326	8656	0.00242606	0.321294	550	2.3393
chr3_44415081_44871488	chr3	184	10603	31554	0.00583127	0.753023	751	1.6455
chr3_44871488_44900629	chr3	8	860	860	0.00930233	0.945625	133	4.564
chr3_44900629_45064721	chr3	57	4158	9027	0.00631439	0.747576	411	2.5047
chr3_45064721_45088640	chr3	2	662	545	0.00366972	0.397777	110	4.5989
chr3_45088640_45108216	chr3	8	504	1689	0.00473653	0.551919	35	1.7879
chr3_45108216_45124793	chr3	13	443	1800	0.00722222	0.810764	26	1.5684
chr3_45124793_45133418	chr3	1	232	73	0.0136986	1.52781	13	1.5072
chr3_45133418_45170951	chr3	1	1148	522	0.00191571	0.187898	206	5.4885
chr3_45170951_45184698	chr3	2	505	74	0.027027	2.20717	129	9.3839
chr3_45184698_45241690	chr3	2	1679	1887	0.00105988	0.10793	320	5.6148
chr3_45241690_45354193	chr3	6	3152	180	0.0333333	3.56926	330	2.9333
chr3_45354193_45445249	chr3	5	2256	1243	0.00402253	0.487068	237	2.6028
chr3_45445249_45575608	chr3	36	3366	4916	0.00732303	0.850822	345	2.6465
chr3_45575608_45664675	chr3	9	2352	2087	0.00431241	0.489915	349	3.9184
chr3_45664675_45758441	chr3	28	2489	6403	0.00437295	0.494215	331	3.5301
chr3_45758441_45779752	chr3	21	629	2568	0.00817757	0.831187	57	2.6747
chr3_45779752_45796808	chr3	5	456	991	0.00504541	0.566148	21	1.2312
chr3_45796808_45868190	chr3	7	1623	2365	0.00295983	0.390534	135	1.8912
chr3_45868190_45963986	chr3	35	2489	6105	0.00573301	0.661951	243	2.5366
chr3_45963986_46153144	chr3	44	4771	6654	0.00661256	0.786514	848	4.483
chr3_46153144_46232618	chr3	10	1939	1932	0.00517598	0.636446	238	2.9947
chr3_46232618_46298321	chr3	13	1677	1709	0.00760679	0.894077	222	3.3788
chr3_46298321_46441860	chr3	53	4141	6128	0.00864883	0.89938	598	4.1661
chr3_46441860_46463776	chr3	16	717	2405	0.00665281	0.610054	124	5.658
chr3_46463776_46551831	chr3	18	2170	3604	0.00499445	0.608	286	3.248
chr3_46551831_46617532	chr3	20	1729	2395	0.00835073	0.951969	322	4.901
chr3_46617532_46662900	chr3	0	1199	240	0	0	170	3.7471
chr3_46662900_46816075	chr3	86	3489	10182	0.00844628	1.11243	557	3.6364
chr3_46816075_46884035	chr3	39	1590	5554	0.00702197	0.900402	180	2.6486
chr3_46884035_47545024	chr3	390	14777	65659	0.00593978	0.797076	1228	1.8578
chr3_47545024_47870031	chr3	87	7040	22404	0.00388324	0.537818	446	1.3723
chr3_47870031_48136339	chr3	46	5748	7836	0.00587034	0.815929	371	1.3931
chr3_48136339_48369284	chr3	59	5264	8394	0.00702883	0.933129	516	2.2151
chr3_48369284_48651759	chr3	392	6873	59748	0.00656089	0.808942	498	1.763
chr3_48651759_49321213	chr3	465	14392	93791	0.00495783	0.691851	816	1.2189
chr3_49321213_49857619	chr3	433	11925	75894	0.00570533	0.769905	885	1.6499
chr3_49857619_50139306	chr3	135	6026	32665	0.00413286	0.579576	521	1.8496
chr3_50139306_50385287	chr3	350	5699	63497	0.00551207	0.713738	477	1.9392
chr3_50385287_50509411	chr3	44	3113	6440	0.0068323	0.817268	333	2.6828
chr3_50509411_51335509	chr3	122	17687	23495	0.00519259	0.727584	1860	2.2515
chr3_51335509_51802436	chr3	178	9846	44385	0.00401036	0.570551	697	1.4927
chr3_51802436_51884212	chr3	20	1899	2073	0.00964785	1.24639	216	2.6414
chr3_51884212_52025491	chr3	144	3623	19947	0.00721913	0.844531	287	2.0314
chr3_52025491_52057238	chr3	18	872	4162	0.00432484	0.472365	67	2.1104
chr3_52057238_52178645	chr3	23	2953	5038	0.0045653	0.563081	203	1.6721
chr3_52178645_52489389	chr3	414	7845	69716	0.00593838	0.705666	490	1.5769
chr3_52489389_52811089	chr3	305	7953	56042	0.00544235	0.660431	864	2.6857
chr3_52811089_53141541	chr3	112	8619	18774	0.0059657	0.686174	1025	3.1018
chr3_53141541_53183397	chr3	23	1124	3237	0.00710534	0.793776	90	2.1502
chr3_53183397_53216270	chr3	11	846	3233	0.00340241	0.396622	123	3.7417
chr3_53216270_53244637	chr3	33	870	4339	0.00760544	0.743943	167	5.8871
chr3_53244637_53410870	chr3	25	3990	4930	0.00507099	0.633809	334	2.0092
chr3_53410870_53453832	chr3	2	1093	127	0.015748	1.857	125	2.9095
chr3_53453832_53507337	chr3	15	1257	2769	0.00541712	0.691749	93	1.7382
chr3_53507337_53522631	chr3	1	433	93	0.0107527	1.13939	19	1.2423
chr3_53522631_53566110	chr3	4	1176	398	0.0100503	1.11473	49	1.127
chr3_53566110_53600399	chr3	1	1033	189	0.00529101	0.526883	20	0.5833
chr3_53600399_53706725	chr3	19	2900	4172	0.00455417	0.500924	85	0.7994
chr3_53706725_53799371	chr3	57	2679	12706	0.00448607	0.465416	169	1.8241
chr3_53799371_53850887	chr3	51	1511	8095	0.00630019	0.644395	139	2.6982
chr3_53850887_53962452	chr3	52	2805	7442	0.00698737	0.833739	314	2.8145
chr3_53962452_54043699	chr3	5	2208	516	0.00968992	1.06967	107	1.317
chr3_54043699_54097612	chr3	5	1420	775	0.00645161	0.734843	140	2.5968
chr3_54097612_54134219	chr3	6	921	1182	0.00507614	0.605284	101	2.759
chr3_54134219_54209002	chr3	6	2304	687	0.00873362	0.850425	21	0.2808
chr3_54209002_54233446	chr3	0	748	37	0	0	4	0.1636
chr3_54233446_54262339	chr3	4	892	310	0.0129032	1.25386	9	0.3115
chr3_54262339_54345775	chr3	8	2630	965	0.00829016	0.789008	61	0.7311
chr3_54345775_54452780	chr3	8	3017	1115	0.00717489	0.763423	22	0.2056
chr3_54452780_54553822	chr3	3	3127	637	0.00470958	0.456538	6	0.0594
chr3_54553822_54595507	chr3	8	1206	1335	0.00599251	0.621387	11	0.2639
chr3_54595507_54605241	chr3	1	274	38	0.0263158	2.80465	10	1.0273
chr3_54605241_54639483	chr3	2	938	573	0.0034904	0.382255	94	2.7452
chr3_54639483_54785344	chr3	14	4304	3281	0.00426699	0.43382	224	1.5357
chr3_54785344_54850531	chr3	23	2040	2367	0.00971694	0.931497	14	0.2148
chr3_54850531_54866828	chr3	3	607	595	0.00504202	0.406111	21	1.2886
chr3_54866828_54898913	chr3	20	1073	2964	0.00674764	0.605307	32	0.9974
chr3_54898913_54955064	chr3	29	1757	3360	0.00863095	0.827496	45	0.8014
chr3_54955064_54974841	chr3	7	576	1210	0.00578512	0.595898	13	0.6573
chr3_54974841_55019602	chr3	11	1398	2160	0.00509259	0.489162	20	0.4468
chr3_55019602_55057124	chr3	1	1042	381	0.00262467	0.28354	68	1.8123
chr3_55057124_55087919	chr3	3	895	1106	0.00271248	0.279991	27	0.8768
chr3_55087919_55127758	chr3	2	1119	269	0.00743494	0.794104	24	0.6024
chr3_55127758_55146917	chr3	0	491	306	0	0	20	1.0439
chr3_55146917_55159988	chr3	0	382	140	0	0	2	0.153
chr3_55159988_55189845	chr3	7	861	780	0.00897436	0.933615	32	1.0718
chr3_55189845_55233865	chr3	3	1318	384	0.0078125	0.782791	7	0.159
chr3_55233865_55277054	chr3	8	1304	685	0.0116788	1.16042	0	0.0
chr3_55277054_55315802	chr3	3	1151	683	0.00439239	0.443604	32	0.8258
chr3_55315802_55351065	chr3	5	1172	786	0.00636132	0.574196	0	0.0
chr3_55351065_55424358	chr3	7	2196	584	0.0119863	1.20015	29	0.3957
chr3_55424358_55456786	chr3	2	1033	350	0.00571429	0.53815	28	0.8635
chr3_55456786_55497064	chr3	33	1019	5731	0.00575816	0.682808	57	1.4152
chr3_55497064_55522101	chr3	15	615	1911	0.00784929	0.958648	29	1.1583
chr3_55522101_55546728	chr3	6	640	1118	0.00536673	0.61953	20	0.8121
chr3_55546728_55583828	chr3	11	1095	1725	0.00637681	0.648164	42	1.1321
chr3_55583828_55700645	chr3	38	3003	5716	0.00664801	0.775824	110	0.9416
chr3_55700645_55767060	chr3	27	1825	3208	0.00841646	0.91887	113	1.7014
chr3_55767060_55900797	chr3	16	3689	2886	0.00554401	0.602959	165	1.2338
chr3_55900797_56020049	chr3	29	3149	4596	0.00630983	0.716857	125	1.0482
chr3_56020049_56120293	chr3	14	2624	1795	0.00779944	0.89388	214	2.1348
chr3_56120293_56246288	chr3	19	3418	2455	0.00773931	0.855864	175	1.3889
chr3_56246288_56400187	chr3	15	3963	2393	0.00626828	0.730267	249	1.6179
chr3_56400187_56491327	chr3	18	2480	2694	0.00668151	0.736637	232	2.5455
chr3_56491327_56750820	chr3	84	7024	16098	0.00521804	0.578322	940	3.6224
chr3_56750820_56795737	chr3	11	1078	2236	0.0049195	0.614942	77	1.7143
chr3_56795737_56813917	chr3	3	441	782	0.00383632	0.474451	32	1.7602
chr3_56813917_56832348	chr3	2	498	233	0.00858369	0.953048	5	0.2713
chr3_56832348_56867264	chr3	1	904	534	0.00187266	0.216988	16	0.4582
chr3_56867264_56920924	chr3	9	1559	1370	0.00656934	0.678341	28	0.5218
chr3_56920924_56987765	chr3	4	1808	1003	0.00398804	0.442308	157	2.3489
chr3_56987765_57039937	chr3	5	1544	1086	0.00460405	0.466715	58	1.1117
chr3_57039937_57163223	chr3	63	3192	8152	0.00772816	0.895465	306	2.482
chr3_57163223_57387736	chr3	120	5279	20550	0.00583942	0.745042	557	2.4809
chr3_57387736_57511916	chr3	92	3223	14115	0.00651789	0.753389	573	4.6143
chr3_57511916_57972538	chr3	107	10897	21554	0.00496428	0.629528	954	2.0711
chr3_57972538_58059560	chr3	19	2341	2747	0.00691664	0.771336	219	2.5166
chr3_58059560_58178174	chr3	151	3427	19070	0.0079182	0.822185	330	2.7821
chr3_58178174_58223976	chr3	20	1355	2639	0.00757863	0.768523	164	3.5806
chr3_58223976_58334231	chr3	24	2875	4857	0.00494132	0.568493	509	4.6166
chr3_58334231_58530656	chr3	66	5178	12879	0.00512462	0.5832	721	3.6706
chr3_58530656_58569659	chr3	17	964	2156	0.00788497	0.957067	98	2.5126
chr3_58569659_58613831	chr3	8	1355	1747	0.00457928	0.447843	176	3.9844
chr3_58613831_58655625	chr3	10	1381	1792	0.00558036	0.506645	121	2.8952
chr3_58655625_58670738	chr3	3	525	335	0.00895522	0.773373	76	5.0288
chr3_58670738_58720147	chr3	0	1397	103	0	0	34	0.6881
chr3_58720147_58884422	chr3	26	3870	3264	0.00796569	1.01439	124	0.7548
chr3_58884422_59186567	chr3	25	7349	2881	0.00867754	1.0703	242	0.8009
chr3_59186567_59248379	chr3	0	1555	468	0	0	53	0.8574
chr3_59248379_59339742	chr3	2	2560	457	0.00437637	0.46856	35	0.3831
chr3_59339742_59368637	chr3	0	818	33	0	0	15	0.5191
chr3_59368637_59423633	chr3	2	1643	131	0.0152672	1.53311	16	0.2909
chr3_59423633_59438970	chr3	0	529	204	0	0	5	0.326
chr3_59438970_59448721	chr3	0	308	75	0	0	0	0.0
chr3_59448721_59478941	chr3	2	993	71	0.028169	2.57181	2	0.0662
chr3_59478941_59519105	chr3	1	1239	352	0.00284091	0.276277	78	1.942
chr3_59519105_59570476	chr3	2	1577	258	0.00775194	0.757561	0	0.0
chr3_59570476_59581687	chr3	0	334	30	0	0	1	0.0892
chr3_59581687_59677025	chr3	2	3088	394	0.00507614	0.470158	6	0.0629
chr3_59677025_59702359	chr3	0	794	118	0	0	1	0.0395
chr3_59702359_59716783	chr3	0	501	16	0	0	0	0.0
chr3_59716783_59751863	chr3	3	1168	162	0.0185185	1.66857	0	0.0
chr3_59751863_59771758	chr3	6	686	404	0.0148515	1.29214	3	0.1508
chr3_59771758_59789730	chr3	3	633	298	0.0100671	0.85747	0	0.0
chr3_59789730_59817087	chr3	2	815	463	0.00431965	0.434992	0	0.0
chr3_59817087_59903534	chr3	5	2805	607	0.00823723	0.761587	0	0.0
chr3_59903534_59918086	chr3	0	472	114	0	0	0	0.0
chr3_59918086_59943025	chr3	2	917	262	0.00763359	0.622816	0	0.0
chr3_59943025_60014239	chr3	13	2733	759	0.0171278	1.3389	0	0.0
chr3_60014239_60031836	chr3	0	690	126	0	0	11	0.6251
chr3_60031836_60051741	chr3	0	801	39	0	0	0	0.0
chr3_60051741_60083004	chr3	0	1311	197	0	0	0	0.0
chr3_60083004_60127103	chr3	4	1828	156	0.025641	1.85566	0	0.0
chr3_60127103_60141888	chr3	0	605	90	0	0	0	0.0
chr3_60141888_60156505	chr3	0	576	34	0	0	0	0.0
chr3_60156505_60189247	chr3	4	1257	332	0.0120482	0.941484	0	0.0
chr3_60189247_60254910	chr3	4	2309	398	0.0100503	0.85741	0	0.0
chr3_60254910_60286257	chr3	3	1214	155	0.0193548	1.4993	0	0.0
chr3_60286257_60317783	chr3	6	1154	587	0.0102215	0.837717	0	0.0
chr3_60317783_60363632	chr3	5	1805	386	0.0129534	0.98709	0	0.0
chr3_60363632_60422131	chr3	3	1985	173	0.017341	1.53315	16	0.2735
chr3_60422131_60494519	chr3	1	2672	111	0.00900901	0.732198	31	0.4282
chr3_60494519_60510705	chr3	1	655	29	0.0344828	2.55636	0	0.0
chr3_60510705_60523156	chr3	0	510	14	0	0	0	0.0
chr3_60523156_60550819	chr3	4	936	386	0.0103627	0.918792	2	0.0723
chr3_60550819_60590344	chr3	1	1498	262	0.00381679	0.30212	16	0.4048
chr3_60590344_60608993	chr3	0	635	31	0	0	1	0.0536
chr3_60608993_60638589	chr3	3	1133	267	0.011236	0.88051	18	0.6082
chr3_60638589_60731241	chr3	2	2732	314	0.00636943	0.648031	2	0.0216
chr3_60731241_60746266	chr3	1	480	179	0.00558659	0.524616	1	0.0666
chr3_60746266_60760544	chr3	0	463	101	0	0	0	0.0
chr3_60760544_60822643	chr3	9	1925	662	0.0135952	1.31571	1	0.0161
chr3_60822643_60892320	chr3	4	2116	205	0.0195122	1.92753	37	0.531
chr3_60892320_60948130	chr3	3	1621	357	0.00840336	0.867967	12	0.215
chr3_60948130_60991478	chr3	3	1315	370	0.00810811	0.801833	1	0.0231
chr3_60991478_61054687	chr3	1	1884	214	0.0046729	0.470333	3	0.0475
chr3_61054687_61137729	chr3	4	2352	567	0.00705467	0.747238	90	1.0838
chr3_61137729_61198344	chr3	4	1593	631	0.00633914	0.723629	129	2.1282
chr3_61198344_61292581	chr3	8	2539	919	0.00870511	0.969292	190	2.0162
chr3_61292581_61313281	chr3	1	522	62	0.016129	1.9188	0	0.0
chr3_61313281_61369805	chr3	3	1563	283	0.0106007	1.15009	2	0.0354
chr3_61369805_61447743	chr3	1	2175	154	0.00649351	0.698056	33	0.4234
chr3_61447743_61483988	chr3	0	1093	226	0	0	23	0.6346
chr3_61483988_61532442	chr3	0	1425	79	0	0	24	0.4953
chr3_61532442_61582527	chr3	9	1515	1151	0.00781929	0.775503	33	0.6589
chr3_61582527_61669476	chr3	12	2853	814	0.014742	1.34785	46	0.529
chr3_61669476_61761754	chr3	10	2868	1080	0.00925926	0.893751	11	0.1192
chr3_61761754_61794192	chr3	1	908	101	0.00990099	1.06113	14	0.4316
chr3_61794192_61827016	chr3	1	961	155	0.00645161	0.661086	16	0.4874
chr3_61827016_61925821	chr3	9	3024	1016	0.00885827	0.868295	94	0.9514
chr3_61925821_61956211	chr3	5	981	417	0.0119904	1.11434	70	2.3034
chr3_61956211_61972349	chr3	1	529	131	0.00763359	0.698625	0	0.0
chr3_61972349_62004502	chr3	6	1135	936	0.00641026	0.544781	0	0.0
chr3_62004502_62042233	chr3	3	1243	389	0.00771208	0.702296	7	0.1855
chr3_62042233_62064477	chr3	0	745	136	0	0	1	0.045
chr3_62064477_62071161	chr3	1	265	198	0.00505051	0.382161	3	0.4488
chr3_62071161_62127387	chr3	19	1938	1121	0.0169492	1.47521	6	0.1067
chr3_62127387_62185158	chr3	16	1822	1603	0.00998129	0.949444	21	0.3635
chr3_62185158_62204567	chr3	14	610	1803	0.00776484	0.741185	9	0.4637
chr3_62204567_62338232	chr3	64	3230	9702	0.00659658	0.818946	75	0.5611
chr3_62338232_62367645	chr3	4	716	1485	0.0026936	0.331956	38	1.2919
chr3_62367645_62386263	chr3	23	461	5353	0.00429666	0.520576	0	0.0
chr3_62386263_62420635	chr3	28	847	3755	0.00745672	0.907801	2	0.0582
chr3_62420635_62452361	chr3	17	828	2894	0.00587422	0.675238	1	0.0315
chr3_62452361_62479364	chr3	17	659	2985	0.00569514	0.700088	0	0.0
chr3_62479364_62496877	chr3	16	500	2821	0.00567175	0.595976	0	0.0
chr3_62496877_62563317	chr3	55	1845	8390	0.00655542	0.708199	0	0.0
chr3_62563317_62579708	chr3	2	472	276	0.00724638	0.754928	7	0.4271
chr3_62579708_62601098	chr3	2	625	799	0.00250313	0.257001	15	0.7013
chr3_62601098_62657245	chr3	9	1704	1374	0.00655022	0.647491	13	0.2315
chr3_62657245_62673445	chr3	3	502	291	0.0103093	0.99807	18	1.1111
chr3_62673445_62745917	chr3	2	2525	213	0.00938967	0.808501	11	0.1518
chr3_62745917_62823181	chr3	3	2351	1164	0.00257732	0.254106	225	2.9121
chr3_62823181_62863254	chr3	1	1050	71	0.0140845	1.6126	84	2.0962
chr3_62863254_62896944	chr3	6	965	1620	0.0037037	0.38791	79	2.3449
chr3_62896944_62952886	chr3	3	1778	126	0.0238095	2.24739	7	0.1251
chr3_62952886_63035111	chr3	0	2952	120	0	0	127	1.5445
chr3_63035111_63105754	chr3	1	2359	266	0.0037594	0.337739	58	0.821
chr3_63105754_63159834	chr3	1	1558	55	0.0181818	1.89334	71	1.3129
chr3_63159834_63269132	chr3	2	3137	181	0.0110497	1.15497	247	2.2599
chr3_63269132_63355472	chr3	9	2550	983	0.00915565	0.929998	276	3.1967
chr3_63355472_63372019	chr3	0	496	56	0	0	36	2.1756
chr3_63372019_63398307	chr3	1	779	94	0.0106383	1.07699	21	0.7988
chr3_63398307_63416785	chr3	0	566	69	0	0	0	0.0
chr3_63416785_63431664	chr3	1	399	12	0.0833333	9.32268	4	0.2688
chr3_63431664_63452182	chr3	3	596	520	0.00576923	0.595838	3	0.1462
chr3_63452182_63513533	chr3	1	1938	390	0.0025641	0.243514	21	0.3423
chr3_63513533_63519515	chr3	0	219	3	0	0	1	0.1672
chr3_63519515_63545666	chr3	1	880	32	0.03125	2.78597	8	0.3059
chr3_63545666_63600614	chr3	3	1541	624	0.00480769	0.514289	27	0.4914
