block_id	chrom	start	end	length_bp	eqtl_variant_count	eqtl_pair_count	eqtl_gene_count	eqtl_tissue_count	eqtl_variants_per_kb
chr3_22969387_22990403	chr3	22969387	22990403	21016	37	37	1	4	1.7606
chr3_22990403_23084177	chr3	22990403	23084177	93774	140	166	6	18	1.493
chr3_23084177_23137761	chr3	23084177	23137761	53584	195	202	4	15	3.6391
chr3_23137761_23181752	chr3	23137761	23181752	43991	179	188	5	16	4.069
chr3_23181752_23607258	chr3	23181752	23607258	425506	1220	1864	11	26	2.8672
chr3_23607258_23634522	chr3	23607258	23634522	27264	12	12	2	3	0.4401
chr3_23634522_23655277	chr3	23634522	23655277	20755	6	6	2	3	0.2891
chr3_23655277_23673599	chr3	23655277	23673599	18322	3	3	3	4	0.1637
chr3_23673599_23702595	chr3	23673599	23702595	28996	21	23	5	6	0.7242
chr3_23702595_23726697	chr3	23702595	23726697	24102	40	50	4	5	1.6596
chr3_23726697_23744132	chr3	23726697	23744132	17435	14	14	4	5	0.803
chr3_23744132_23761156	chr3	23744132	23761156	17024	5	5	1	1	0.2937
chr3_23761156_23858910	chr3	23761156	23858910	97754	109	111	4	12	1.115
chr3_23858910_23982611	chr3	23858910	23982611	123701	262	295	3	19	2.118
chr3_23982611_24043675	chr3	23982611	24043675	61064	82	90	4	12	1.3429
chr3_24043675_24148693	chr3	24043675	24148693	105018	71	87	4	6	0.6761
chr3_24148693_24229242	chr3	24148693	24229242	80549	60	64	5	8	0.7449
chr3_24229242_24236724	chr3	24229242	24236724	7482	3	3	1	1	0.401
chr3_24236724_24285649	chr3	24236724	24285649	48925	2	2	2	2	0.0409
chr3_24285649_24315841	chr3	24285649	24315841	30192	3	3	3	3	0.0994
chr3_24315841_24368924	chr3	24315841	24368924	53083	18	18	2	5	0.3391
chr3_24368924_24456502	chr3	24368924	24456502	87578	138	139	4	10	1.5757
chr3_24456502_24495732	chr3	24456502	24495732	39230	41	43	4	7	1.0451
chr3_24495732_24521676	chr3	24495732	24521676	25944	29	29	3	7	1.1178
chr3_24521676_24599843	chr3	24521676	24599843	78167	22	22	4	3	0.2814
chr3_24599843_24673614	chr3	24599843	24673614	73771	19	19	3	3	0.2576
chr3_24673614_24688384	chr3	24673614	24688384	14770	8	8	3	2	0.5416
chr3_24688384_24717166	chr3	24688384	24717166	28782	17	17	3	3	0.5906
chr3_24717166_24741210	chr3	24717166	24741210	24044	2	2	2	2	0.0832
chr3_24741210_24793323	chr3	24741210	24793323	52113	8	8	2	3	0.1535
chr3_24793323_24839791	chr3	24793323	24839791	46468	7	7	3	3	0.1506
chr3_24839791_24847908	chr3	24839791	24847908	8117	1	1	1	1	0.1232
chr3_24847908_24912803	chr3	24847908	24912803	64895	27	27	4	4	0.4161
chr3_24912803_24991697	chr3	24912803	24991697	78894	10	10	3	3	0.1268
chr3_24991697_25018768	chr3	24991697	25018768	27071	6	6	2	2	0.2216
chr3_25018768_25034833	chr3	25018768	25034833	16065	0	0	0	0	0.0
chr3_25034833_25070399	chr3	25034833	25070399	35566	2	2	1	1	0.0562
chr3_25070399_25142659	chr3	25070399	25142659	72260	54	54	2	2	0.7473
chr3_25142659_25285621	chr3	25142659	25285621	142962	18	18	5	6	0.1259
chr3_25285621_25336995	chr3	25285621	25336995	51374	1	1	1	1	0.0195
chr3_25336995_25356647	chr3	25336995	25356647	19652	1	1	1	1	0.0509
chr3_25356647_25418617	chr3	25356647	25418617	61970	6	6	2	3	0.0968
chr3_25418617_25448702	chr3	25418617	25448702	30085	11	11	2	2	0.3656
chr3_25448702_25467618	chr3	25448702	25467618	18916	0	0	0	0	0.0
chr3_25467618_25478092	chr3	25467618	25478092	10474	1	1	1	1	0.0955
chr3_25478092_25507064	chr3	25478092	25507064	28972	29	29	2	2	1.001
chr3_25507064_25536376	chr3	25507064	25536376	29312	11	11	1	1	0.3753
chr3_25536376_25564395	chr3	25536376	25564395	28019	6	6	2	1	0.2141
chr3_25564395_25584330	chr3	25564395	25584330	19935	32	33	5	3	1.6052
chr3_25584330_25687424	chr3	25584330	25687424	103094	202	247	4	15	1.9594
chr3_25687424_25835331	chr3	25687424	25835331	147907	188	419	4	22	1.2711
chr3_25835331_25890045	chr3	25835331	25890045	54714	69	95	4	6	1.2611
chr3_25890045_26011433	chr3	25890045	26011433	121388	54	54	5	9	0.4449
chr3_26011433_26223456	chr3	26011433	26223456	212023	311	399	5	6	1.4668
chr3_26223456_26354602	chr3	26223456	26354602	131146	22	23	3	5	0.1678
chr3_26354602_26418589	chr3	26354602	26418589	63987	26	42	7	5	0.4063
chr3_26418589_26501736	chr3	26418589	26501736	83147	121	210	6	6	1.4553
chr3_26501736_26506010	chr3	26501736	26506010	4274	3	3	2	1	0.7019
chr3_26506010_26518781	chr3	26506010	26518781	12771	2	2	2	2	0.1566
chr3_26518781_26597397	chr3	26518781	26597397	78616	1	1	1	1	0.0127
chr3_26597397_26697821	chr3	26597397	26697821	100424	71	71	3	3	0.707
chr3_26697821_26836475	chr3	26697821	26836475	138654	64	65	7	6	0.4616
chr3_26836475_26861720	chr3	26836475	26861720	25245	1	1	1	1	0.0396
chr3_26861720_26974635	chr3	26861720	26974635	112915	144	144	5	7	1.2753
chr3_26974635_26996082	chr3	26974635	26996082	21447	7	7	3	3	0.3264
chr3_26996082_27075902	chr3	26996082	27075902	79820	296	596	6	15	3.7083
chr3_27075902_27215535	chr3	27075902	27215535	139633	302	544	6	16	2.1628
chr3_27215535_27354479	chr3	27215535	27354479	138944	395	928	7	21	2.8429
chr3_27354479_27505686	chr3	27354479	27505686	151207	444	867	8	19	2.9364
chr3_27505686_27570692	chr3	27505686	27570692	65006	108	218	6	17	1.6614
chr3_27570692_27620855	chr3	27570692	27620855	50163	208	382	6	22	4.1465
chr3_27620855_27680350	chr3	27620855	27680350	59495	166	254	6	34	2.7902
chr3_27680350_27712126	chr3	27680350	27712126	31776	68	90	6	29	2.14
chr3_27712126_27799048	chr3	27712126	27799048	86922	110	129	8	29	1.2655
chr3_27799048_27904898	chr3	27799048	27904898	105850	216	242	6	8	2.0406
chr3_27904898_27937077	chr3	27904898	27937077	32179	4	4	2	3	0.1243
chr3_27937077_27981739	chr3	27937077	27981739	44662	5	5	4	4	0.112
chr3_27981739_27999152	chr3	27981739	27999152	17413	3	3	1	1	0.1723
chr3_27999152_28013461	chr3	27999152	28013461	14309	2	2	1	1	0.1398
chr3_28013461_28085104	chr3	28013461	28085104	71643	47	49	6	9	0.656
chr3_28085104_28170162	chr3	28085104	28170162	85058	7	7	4	6	0.0823
chr3_28170162_28262635	chr3	28170162	28262635	92473	78	84	3	41	0.8435
chr3_28262635_28568113	chr3	28262635	28568113	305478	299	343	7	41	0.9788
chr3_28568113_28606929	chr3	28568113	28606929	38816	16	19	4	5	0.4122
chr3_28606929_28640317	chr3	28606929	28640317	33388	6	6	3	3	0.1797
chr3_28640317_28672528	chr3	28640317	28672528	32211	16	16	3	3	0.4967
chr3_28672528_28735268	chr3	28672528	28735268	62740	11	11	4	4	0.1753
chr3_28735268_28781658	chr3	28735268	28781658	46390	3	3	3	3	0.0647
chr3_28781658_28845884	chr3	28781658	28845884	64226	2	2	2	2	0.0311
chr3_28845884_28975697	chr3	28845884	28975697	129813	1	1	1	1	0.0077
chr3_28975697_29101215	chr3	28975697	29101215	125518	19	19	2	3	0.1514
chr3_29101215_29136203	chr3	29101215	29136203	34988	14	14	2	7	0.4001
chr3_29136203_29175787	chr3	29136203	29175787	39584	3	3	2	2	0.0758
chr3_29175787_29234717	chr3	29175787	29234717	58930	22	24	5	7	0.3733
chr3_29234717_29278396	chr3	29234717	29278396	43679	35	35	1	15	0.8013
chr3_29278396_29304411	chr3	29278396	29304411	26015	32	36	3	35	1.2301
chr3_29304411_29328194	chr3	29304411	29328194	23783	5	5	2	5	0.2102
chr3_29328194_29349381	chr3	29328194	29349381	21187	11	11	1	6	0.5192
chr3_29349381_29370258	chr3	29349381	29370258	20877	26	26	2	19	1.2454
chr3_29370258_29388766	chr3	29370258	29388766	18508	1	1	1	1	0.054
chr3_29388766_29440555	chr3	29388766	29440555	51789	19	22	2	9	0.3669
chr3_29440555_29456731	chr3	29440555	29456731	16176	20	21	3	4	1.2364
chr3_29456731_29528932	chr3	29456731	29528932	72201	125	125	2	5	1.7313
chr3_29528932_29581691	chr3	29528932	29581691	52759	113	114	2	6	2.1418
chr3_29581691_29666078	chr3	29581691	29666078	84387	357	360	2	6	4.2305
chr3_29666078_29770041	chr3	29666078	29770041	103963	4	4	2	3	0.0385
chr3_29770041_29804902	chr3	29770041	29804902	34861	1	1	1	1	0.0287
chr3_29804902_29838464	chr3	29804902	29838464	33562	0	0	0	0	0.0
chr3_29838464_29877115	chr3	29838464	29877115	38651	2	2	1	1	0.0517
chr3_29877115_29923061	chr3	29877115	29923061	45946	37	37	2	2	0.8053
chr3_29923061_30018360	chr3	29923061	30018360	95299	25	25	2	2	0.2623
chr3_30018360_30076683	chr3	30018360	30076683	58323	3	4	2	2	0.0514
chr3_30076683_30120231	chr3	30076683	30120231	43548	2	2	1	1	0.0459
chr3_30120231_30158230	chr3	30120231	30158230	37999	2	2	1	1	0.0526
chr3_30158230_30176530	chr3	30158230	30176530	18300	0	0	0	0	0.0
chr3_30176530_30226362	chr3	30176530	30226362	49832	10	10	2	2	0.2007
chr3_30226362_30236799	chr3	30226362	30236799	10437	3	3	2	3	0.2874
chr3_30236799_30299934	chr3	30236799	30299934	63135	95	161	3	4	1.5047
chr3_30299934_30384641	chr3	30299934	30384641	84707	114	118	2	2	1.3458
chr3_30384641_30466971	chr3	30384641	30466971	82330	45	50	4	3	0.5466
chr3_30466971_30490868	chr3	30466971	30490868	23897	9	15	2	1	0.3766
chr3_30490868_30512720	chr3	30490868	30512720	21852	46	78	3	6	2.1051
chr3_30512720_30550352	chr3	30512720	30550352	37632	70	90	6	11	1.8601
chr3_30550352_30619989	chr3	30550352	30619989	69637	18	21	3	2	0.2585
chr3_30619989_30647811	chr3	30619989	30647811	27822	4	4	2	3	0.1438
chr3_30647811_30677040	chr3	30647811	30677040	29229	1	1	1	1	0.0342
chr3_30677040_30687352	chr3	30677040	30687352	10312	0	0	0	0	0.0
chr3_30687352_30704449	chr3	30687352	30704449	17097	24	35	2	8	1.4038
chr3_30704449_30767566	chr3	30704449	30767566	63117	198	287	4	9	3.137
chr3_30767566_30799316	chr3	30767566	30799316	31750	32	36	3	6	1.0079
chr3_30799316_30930036	chr3	30799316	30930036	130720	100	100	1	2	0.765
chr3_30930036_31023930	chr3	30930036	31023930	93894	4	5	3	3	0.0426
chr3_31023930_31091909	chr3	31023930	31091909	67979	1	1	1	1	0.0147
chr3_31091909_31230818	chr3	31091909	31230818	138909	177	178	4	7	1.2742
chr3_31230818_31293847	chr3	31230818	31293847	63029	34	34	5	8	0.5394
chr3_31293847_31353451	chr3	31293847	31353451	59604	32	32	3	4	0.5369
chr3_31353451_31422350	chr3	31353451	31422350	68899	27	27	5	5	0.3919
chr3_31422350_31453727	chr3	31422350	31453727	31377	49	85	3	3	1.5617
chr3_31453727_31511348	chr3	31453727	31511348	57621	105	105	6	8	1.8223
chr3_31511348_31684560	chr3	31511348	31684560	173212	218	233	5	16	1.2586
chr3_31684560_31716294	chr3	31684560	31716294	31734	56	60	5	5	1.7647
chr3_31716294_31741783	chr3	31716294	31741783	25489	97	97	3	4	3.8056
chr3_31741783_31809957	chr3	31741783	31809957	68174	42	76	8	10	0.6161
chr3_31809957_31821208	chr3	31809957	31821208	11251	0	0	0	0	0.0
chr3_31821208_31850544	chr3	31821208	31850544	29336	3	3	2	2	0.1023
chr3_31850544_31866916	chr3	31850544	31866916	16372	12	12	4	5	0.733
chr3_31866916_31892258	chr3	31866916	31892258	25342	3	3	3	3	0.1184
chr3_31892258_31912606	chr3	31892258	31912606	20348	5	5	2	4	0.2457
chr3_31912606_32024234	chr3	31912606	32024234	111628	321	571	9	26	2.8756
chr3_32024234_32081344	chr3	32024234	32081344	57110	131	346	9	16	2.2938
chr3_32081344_32120499	chr3	32081344	32120499	39155	139	288	10	18	3.55
chr3_32120499_32154341	chr3	32120499	32154341	33842	110	213	12	39	3.2504
chr3_32154341_32193836	chr3	32154341	32193836	39495	189	523	10	37	4.7854
chr3_32193836_32220882	chr3	32193836	32220882	27046	31	42	9	11	1.1462
chr3_32220882_32243290	chr3	32220882	32243290	22408	80	93	7	15	3.5702
chr3_32243290_32288005	chr3	32243290	32288005	44715	64	91	8	14	1.4313
chr3_32288005_32311639	chr3	32288005	32311639	23634	24	31	3	3	1.0155
chr3_32311639_32331839	chr3	32311639	32331839	20200	8	8	6	10	0.396
chr3_32331839_32365990	chr3	32331839	32365990	34151	68	69	9	12	1.9912
chr3_32365990_32389110	chr3	32365990	32389110	23120	85	135	8	16	3.6765
chr3_32389110_32424295	chr3	32389110	32424295	35185	161	324	9	25	4.5758
chr3_32424295_32458244	chr3	32424295	32458244	33949	85	122	5	12	2.5038
chr3_32458244_32592542	chr3	32458244	32592542	134298	361	528	13	20	2.6881
chr3_32592542_32646021	chr3	32592542	32646021	53479	396	490	10	12	7.4048
chr3_32646021_32806501	chr3	32646021	32806501	160480	355	414	15	13	2.2121
chr3_32806501_32870551	chr3	32806501	32870551	64050	85	98	10	14	1.3271
chr3_32870551_32972544	chr3	32870551	32972544	101993	81	91	13	17	0.7942
chr3_32972544_32987124	chr3	32972544	32987124	14580	42	74	6	12	2.8807
chr3_32987124_33045708	chr3	32987124	33045708	58584	195	348	14	30	3.3286
chr3_33045708_33156545	chr3	33045708	33156545	110837	300	630	14	36	2.7067
chr3_33156545_33182726	chr3	33156545	33182726	26181	101	172	6	19	3.8578
chr3_33182726_33214100	chr3	33182726	33214100	31374	72	138	9	21	2.2949
chr3_33214100_33263515	chr3	33214100	33263515	49415	131	283	9	23	2.651
chr3_33263515_33485455	chr3	33263515	33485455	221940	489	1023	13	30	2.2033
chr3_33485455_33795112	chr3	33485455	33795112	309657	534	1512	12	35	1.7245
chr3_33795112_33884633	chr3	33795112	33884633	89521	309	1143	11	44	3.4517
chr3_33884633_33930837	chr3	33884633	33930837	46204	93	233	9	38	2.0128
chr3_33930837_33947754	chr3	33930837	33947754	16917	24	28	5	8	1.4187
chr3_33947754_34064878	chr3	33947754	34064878	117124	82	91	9	10	0.7001
chr3_34064878_34111143	chr3	34064878	34111143	46265	9	9	5	6	0.1945
chr3_34111143_34199918	chr3	34111143	34199918	88775	56	56	6	6	0.6308
chr3_34199918_34281307	chr3	34199918	34281307	81389	95	104	3	5	1.1672
chr3_34281307_34501891	chr3	34281307	34501891	220584	38	47	5	6	0.1723
chr3_34501891_34620665	chr3	34501891	34620665	118774	14	15	5	7	0.1179
chr3_34620665_34773297	chr3	34620665	34773297	152632	77	77	5	9	0.5045
chr3_34773297_34838467	chr3	34773297	34838467	65170	68	94	4	5	1.0434
chr3_34838467_34979007	chr3	34838467	34979007	140540	142	142	2	3	1.0104
chr3_34979007_35063696	chr3	34979007	35063696	84689	9	9	2	3	0.1063
chr3_35063696_35147696	chr3	35063696	35147696	84000	11	11	1	2	0.131
chr3_35147696_35205010	chr3	35147696	35205010	57314	21	21	2	3	0.3664
chr3_35205010_35239965	chr3	35205010	35239965	34955	15	15	1	2	0.4291
chr3_35239965_35408541	chr3	35239965	35408541	168576	137	137	1	4	0.8127
chr3_35408541_35472119	chr3	35408541	35472119	63578	59	59	2	5	0.928
chr3_35472119_35596417	chr3	35472119	35596417	124298	239	239	1	6	1.9228
chr3_35596417_35739243	chr3	35596417	35739243	142826	219	219	2	9	1.5333
chr3_35739243_35871850	chr3	35739243	35871850	132607	135	135	2	4	1.018
chr3_35871850_35945762	chr3	35871850	35945762	73912	9	9	2	2	0.1218
chr3_35945762_35987897	chr3	35945762	35987897	42135	0	0	0	0	0.0
chr3_35987897_36058573	chr3	35987897	36058573	70676	44	44	4	5	0.6226
chr3_36058573_36141404	chr3	36058573	36141404	82831	67	67	7	12	0.8089
chr3_36141404_36304473	chr3	36141404	36304473	163069	460	475	14	22	2.8209
chr3_36304473_36375055	chr3	36304473	36375055	70582	128	130	7	12	1.8135
chr3_36375055_36444898	chr3	36375055	36444898	69843	326	333	9	20	4.6676
chr3_36444898_36453242	chr3	36444898	36453242	8344	1	1	1	1	0.1198
chr3_36453242_36512456	chr3	36453242	36512456	59214	101	103	9	15	1.7057
chr3_36512456_36619664	chr3	36512456	36619664	107208	119	119	12	14	1.11
chr3_36619664_36643433	chr3	36619664	36643433	23769	33	35	8	10	1.3884
chr3_36643433_36707369	chr3	36643433	36707369	63936	39	40	10	12	0.61
chr3_36707369_36757498	chr3	36707369	36757498	50129	44	49	9	11	0.8777
chr3_36757498_36771445	chr3	36757498	36771445	13947	22	33	7	14	1.5774
chr3_36771445_36790997	chr3	36771445	36790997	19552	60	110	6	15	3.0687
chr3_36790997_36814122	chr3	36790997	36814122	23125	48	163	15	20	2.0757
chr3_36814122_36923092	chr3	36814122	36923092	108970	208	867	21	28	1.9088
chr3_36923092_37230579	chr3	36923092	37230579	307487	745	5090	26	41	2.4229
chr3_37230579_37421556	chr3	37230579	37421556	190977	386	2122	26	37	2.0212
chr3_37421556_37490025	chr3	37421556	37490025	68469	152	497	20	29	2.22
chr3_37490025_37558979	chr3	37490025	37558979	68954	229	437	17	19	3.3211
chr3_37558979_37625765	chr3	37558979	37625765	66786	143	159	17	17	2.1412
chr3_37625765_37681604	chr3	37625765	37681604	55839	101	148	19	23	1.8088
chr3_37681604_37792356	chr3	37681604	37792356	110752	209	312	27	37	1.8871
chr3_37792356_37825264	chr3	37792356	37825264	32908	47	67	16	23	1.4282
chr3_37825264_37855140	chr3	37825264	37855140	29876	65	85	14	20	2.1757
chr3_37855140_37954986	chr3	37855140	37954986	99846	247	361	17	29	2.4738
chr3_37954986_38038495	chr3	37954986	38038495	83509	208	494	18	39	2.4907
chr3_38038495_38111153	chr3	38038495	38111153	72658	193	450	13	27	2.6563
chr3_38111153_38312649	chr3	38111153	38312649	201496	346	535	18	31	1.7172
chr3_38312649_38364294	chr3	38312649	38364294	51645	203	274	16	20	3.9307
chr3_38364294_38393532	chr3	38364294	38393532	29238	92	197	14	37	3.1466
chr3_38393532_38563154	chr3	38393532	38563154	169622	445	1454	18	45	2.6235
chr3_38563154_38618304	chr3	38563154	38618304	55150	116	145	17	23	2.1034
chr3_38618304_38624332	chr3	38618304	38624332	6028	11	15	7	7	1.8248
chr3_38624332_38684702	chr3	38624332	38684702	60370	111	125	10	15	1.8387
chr3_38684702_38711685	chr3	38684702	38711685	26983	24	29	10	14	0.8894
chr3_38711685_38786013	chr3	38711685	38786013	74328	102	119	11	17	1.3723
chr3_38786013_38821646	chr3	38786013	38821646	35633	55	80	6	11	1.5435
chr3_38821646_39151051	chr3	38821646	39151051	329405	1075	2707	21	41	3.2635
chr3_39151051_39230700	chr3	39151051	39230700	79649	173	437	14	37	2.172
chr3_39230700_39250485	chr3	39230700	39250485	19785	70	119	10	27	3.538
chr3_39250485_39268285	chr3	39250485	39268285	17800	52	88	12	28	2.9213
chr3_39268285_39380648	chr3	39268285	39380648	112363	303	797	16	34	2.6966
chr3_39380648_39494656	chr3	39380648	39494656	114008	548	2052	16	44	4.8067
chr3_39494656_39561544	chr3	39494656	39561544	66888	190	352	12	27	2.8406
chr3_39561544_39699903	chr3	39561544	39699903	138359	81	84	14	17	0.5854
chr3_39699903_39760260	chr3	39699903	39760260	60357	19	20	10	12	0.3148
chr3_39760260_39803472	chr3	39760260	39803472	43212	95	127	13	16	2.1985
chr3_39803472_39851682	chr3	39803472	39851682	48210	116	123	7	14	2.4061
chr3_39851682_39918075	chr3	39851682	39918075	66393	158	198	10	18	2.3798
chr3_39918075_39954069	chr3	39918075	39954069	35994	121	227	6	14	3.3617
chr3_39954069_40042510	chr3	39954069	40042510	88441	184	487	8	18	2.0805
chr3_40042510_40068146	chr3	40042510	40068146	25636	107	292	6	19	4.1738
chr3_40068146_40123101	chr3	40068146	40123101	54955	74	130	6	17	1.3466
chr3_40123101_40178178	chr3	40123101	40178178	55077	86	140	9	21	1.5615
chr3_40178178_40301046	chr3	40178178	40301046	122868	302	1028	14	41	2.4579
chr3_40301046_40493387	chr3	40301046	40493387	192341	571	2207	14	41	2.9687
chr3_40493387_40585608	chr3	40493387	40585608	92221	126	568	11	40	1.3663
chr3_40585608_40741528	chr3	40585608	40741528	155920	171	283	13	36	1.0967
chr3_40741528_40857983	chr3	40741528	40857983	116455	32	38	11	21	0.2748
chr3_40857983_40977922	chr3	40857983	40977922	119939	72	94	5	15	0.6003
chr3_40977922_41023922	chr3	40977922	41023922	46000	2	2	2	2	0.0435
chr3_41023922_41062415	chr3	41023922	41062415	38493	33	35	5	8	0.8573
chr3_41062415_41148685	chr3	41062415	41148685	86270	38	43	9	13	0.4405
chr3_41148685_41178942	chr3	41148685	41178942	30257	32	59	6	17	1.0576
chr3_41178942_41267423	chr3	41178942	41267423	88481	101	125	9	23	1.1415
chr3_41267423_41378606	chr3	41267423	41378606	111183	137	237	8	23	1.2322
chr3_41378606_41423353	chr3	41378606	41423353	44747	88	141	4	8	1.9666
chr3_41423353_41531915	chr3	41423353	41531915	108562	228	269	8	18	2.1002
chr3_41531915_41592977	chr3	41531915	41592977	61062	234	239	4	20	3.8322
chr3_41592977_41700404	chr3	41592977	41700404	107427	236	364	9	29	2.1968
chr3_41700404_42062987	chr3	41700404	42062987	362583	1531	2817	21	45	4.2225
chr3_42062987_42143760	chr3	42062987	42143760	80773	221	267	13	40	2.7361
chr3_42143760_42226959	chr3	42143760	42226959	83199	139	148	13	18	1.6707
chr3_42226959_42258378	chr3	42226959	42258378	31419	41	43	9	10	1.3049
chr3_42258378_42293016	chr3	42258378	42293016	34638	66	131	12	18	1.9054
chr3_42293016_42336621	chr3	42293016	42336621	43605	192	240	10	14	4.4032
chr3_42336621_42375178	chr3	42336621	42375178	38557	139	225	12	14	3.6051
chr3_42375178_42393627	chr3	42375178	42393627	18449	9	14	9	8	0.4878
chr3_42393627_42445532	chr3	42393627	42445532	51905	46	78	18	16	0.8862
chr3_42445532_42499952	chr3	42445532	42499952	54420	121	395	21	32	2.2234
chr3_42499952_42537017	chr3	42499952	42537017	37065	93	205	15	33	2.5091
chr3_42537017_42691447	chr3	42537017	42691447	154430	374	1698	27	46	2.4218
chr3_42691447_42819964	chr3	42691447	42819964	128517	292	2091	26	48	2.2721
chr3_42819964_42883199	chr3	42819964	42883199	63235	157	799	21	44	2.4828
chr3_42883199_43011119	chr3	42883199	43011119	127920	215	907	21	39	1.6807
chr3_43011119_43061927	chr3	43011119	43061927	50808	157	698	20	36	3.0901
chr3_43061927_43157978	chr3	43061927	43157978	96051	280	643	23	39	2.9151
chr3_43157978_43207463	chr3	43157978	43207463	49485	93	128	21	18	1.8794
chr3_43207463_43443961	chr3	43207463	43443961	236498	629	1244	25	27	2.6596
chr3_43443961_43760434	chr3	43443961	43760434	316473	676	1562	35	31	2.136
chr3_43760434_43836624	chr3	43760434	43836624	76190	112	156	15	14	1.47
chr3_43836624_43910231	chr3	43836624	43910231	73607	131	346	19	16	1.7797
chr3_43910231_44041560	chr3	43910231	44041560	131329	278	846	21	21	2.1168
chr3_44041560_44099345	chr3	44041560	44099345	57785	94	163	19	22	1.6267
chr3_44099345_44179966	chr3	44099345	44179966	80621	159	520	20	38	1.9722
chr3_44179966_44415081	chr3	44179966	44415081	235115	550	3815	27	49	2.3393
chr3_44415081_44871488	chr3	44415081	44871488	456407	751	5222	32	49	1.6455
chr3_44871488_44900629	chr3	44871488	44900629	29141	133	596	27	49	4.564
chr3_44900629_45064721	chr3	44900629	45064721	164092	411	2153	29	48	2.5047
chr3_45064721_45088640	chr3	45064721	45088640	23919	110	357	24	36	4.5989
chr3_45088640_45108216	chr3	45088640	45108216	19576	35	58	20	21	1.7879
chr3_45108216_45124793	chr3	45108216	45124793	16577	26	51	13	16	1.5684
chr3_45124793_45133418	chr3	45124793	45133418	8625	13	14	6	8	1.5072
chr3_45133418_45170951	chr3	45133418	45170951	37533	206	368	13	29	5.4885
chr3_45170951_45184698	chr3	45170951	45184698	13747	129	161	12	20	9.3839
chr3_45184698_45241690	chr3	45184698	45241690	56992	320	513	19	24	5.6148
chr3_45241690_45354193	chr3	45241690	45354193	112503	330	658	26	32	2.9333
chr3_45354193_45445249	chr3	45354193	45445249	91056	237	477	20	44	2.6028
chr3_45445249_45575608	chr3	45445249	45575608	130359	345	903	20	46	2.6465
chr3_45575608_45664675	chr3	45575608	45664675	89067	349	877	19	47	3.9184
chr3_45664675_45758441	chr3	45664675	45758441	93766	331	1075	21	46	3.5301
chr3_45758441_45779752	chr3	45758441	45779752	21311	57	128	18	40	2.6747
chr3_45779752_45796808	chr3	45779752	45796808	17056	21	34	14	18	1.2312
chr3_45796808_45868190	chr3	45796808	45868190	71382	135	377	25	24	1.8912
chr3_45868190_45963986	chr3	45868190	45963986	95796	243	1134	27	33	2.5366
chr3_45963986_46153144	chr3	45963986	46153144	189158	848	4391	36	39	4.483
chr3_46153144_46232618	chr3	46153144	46232618	79474	238	1430	31	25	2.9947
chr3_46232618_46298321	chr3	46232618	46298321	65703	222	1159	30	27	3.3788
chr3_46298321_46441860	chr3	46298321	46441860	143539	598	3033	36	35	4.1661
chr3_46441860_46463776	chr3	46441860	46463776	21916	124	355	23	28	5.658
chr3_46463776_46551831	chr3	46463776	46551831	88055	286	1279	31	48	3.248
chr3_46551831_46617532	chr3	46551831	46617532	65701	322	1259	39	48	4.901
chr3_46617532_46662900	chr3	46617532	46662900	45368	170	473	28	41	3.7471
chr3_46662900_46816075	chr3	46662900	46816075	153175	557	2476	40	49	3.6364
chr3_46816075_46884035	chr3	46816075	46884035	67960	180	803	34	46	2.6486
chr3_46884035_47545024	chr3	46884035	47545024	660989	1228	8302	52	45	1.8578
chr3_47545024_47870031	chr3	47545024	47870031	325007	446	4271	48	46	1.3723
chr3_47870031_48136339	chr3	47870031	48136339	266308	371	3560	47	49	1.3931
chr3_48136339_48369284	chr3	48136339	48369284	232945	516	6506	60	49	2.2151
chr3_48369284_48651759	chr3	48369284	48651759	282475	498	5351	64	48	1.763
chr3_48651759_49321213	chr3	48651759	49321213	669454	816	18849	84	49	1.2189
chr3_49321213_49857619	chr3	49321213	49857619	536406	885	22570	95	49	1.6499
chr3_49857619_50139306	chr3	49857619	50139306	281687	521	11253	74	49	1.8496
chr3_50139306_50385287	chr3	50139306	50385287	245981	477	5731	63	49	1.9392
chr3_50385287_50509411	chr3	50385287	50509411	124124	333	3441	52	47	2.6828
chr3_50509411_51335509	chr3	50509411	51335509	826098	1860	18842	72	48	2.2515
chr3_51335509_51802436	chr3	51335509	51802436	466927	697	2539	45	43	1.4927
chr3_51802436_51884212	chr3	51802436	51884212	81776	216	770	30	27	2.6414
chr3_51884212_52025491	chr3	51884212	52025491	141279	287	1091	46	43	2.0314
chr3_52025491_52057238	chr3	52025491	52057238	31747	67	151	32	30	2.1104
chr3_52057238_52178645	chr3	52057238	52178645	121407	203	620	45	35	1.6721
chr3_52178645_52489389	chr3	52178645	52489389	310744	490	5189	55	48	1.5769
chr3_52489389_52811089	chr3	52489389	52811089	321700	864	10525	51	49	2.6857
chr3_52811089_53141541	chr3	52811089	53141541	330452	1025	9939	49	49	3.1018
chr3_53141541_53183397	chr3	53141541	53183397	41856	90	185	25	27	2.1502
chr3_53183397_53216270	chr3	53183397	53216270	32873	123	559	31	26	3.7417
chr3_53216270_53244637	chr3	53216270	53244637	28367	167	543	22	32	5.8871
chr3_53244637_53410870	chr3	53244637	53410870	166233	334	1164	24	37	2.0092
chr3_53410870_53453832	chr3	53410870	53453832	42962	125	482	19	27	2.9095
